nama_produk,link_produk,harga,jumlah_terjual,toko,rating
"Oximeter Sp02 LED Monitor Oxymeter Alat Pengukur Kadar Oksigen Heart Rate Oxymeter Fingertip Pulse
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/488oy58-jual-oximeter-sp02-led-monitor-oxymeter-alat-pengukur-kadar-oksigen-heart-rate-oxymeter-fingertip-pulse,19555,168,Galaxy_Star,4.9
"Fingertip Pulse Oximeter Oximetry Sp02 Saturation Monitor
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g46my1-jual-fingertip-pulse-oximeter-oximetry-sp02-saturation-monitor,39000,29,OMIA Official Store,5
"Fingertip pulse oxymeter oximeter SpO2 LCD Full Colour Pengukur Kadar Oxygen Dalam Darah dan Detak Jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g2qm0g-jual-fingertip-pulse-oxymeter-oximeter-spo2-lcd-full-colour-pengukur-kadar-oxygen-dalam-darah-dan-detak-jantung,88072,4,SUN666,5
"fingertrip pulse oximeter oxymeter-alat pengukur kadar oksigen dan detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3qpr8vc-jual-fingertrip-pulse-oximeter-oxymeter-alat-pengukur-kadar-oksigen-dan-detak-jantung,130000,17,Manjurmandiri shop,4.9
"Pulse oximeter fingertip...Alat cek kadar oksigen dan detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3ppslqk-jual-pulse-oximeter-fingertip-alat-cek-kadar-oksigen-dan-detak-jantung,100000,4,Cahaya  kinarikinarai,5
"pulse oximeter fingertip Sp02..alat pengukur kadar oksigen & detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4ajrwvn-jual-pulse-oximeter-fingertip-sp02-alat-pengukur-kadar-oksigen-detak-jantung,150000,1,bintang7 herbal,5
"Fingertip Pulse oximeter oxymetry Sp02 alat ukur kadar oksigen & detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3r1bmz8-jual-fingertip-pulse-oximeter-oxymetry-sp02-alat-ukur-kadar-oksigen-detak-jantung,135000,12,Manjurmandiri shop,5
"Oximeter Fingertip Pulse  Oximeter alat Pengukur oksigen darah akurat
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3q2tduy-jual-oximeter-fingertip-pulse-oximeter-alat-pengukur-oksigen-darah-akurat,130000,15,GUNUNG JAYA88,5
"Oximeter Pulse Fingertip LED
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g17oog-jual-oximeter-pulse-fingertip-led,105000,0,MEDIKA JAYA 88,0
"Oximeter pulse fingertip alat pengukur oksigen darah dan detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3qsygtv-jual-oximeter-pulse-fingertip-alat-pengukur-oksigen-darah-dan-detak-jantung,130000,5,GUNUNG JAYA88,4.6
"Oximeter Fingertip Pulse SO811
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g3hmys-jual-oximeter-fingertip-pulse-so811,100000,3,MEDIKA JAYA 88,5
"Oximeter Pulse Finger Kadar Oksigen dan detak Jantung Portable iHealth
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/271treu-jual-oximeter-pulse-finger-kadar-oksigen-dan-detak-jantung-portable-ihealth,65500,148,Chi Chi store,4.9
"Pulse Oxymeter PO 30 Beurer Germany
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/13ovjht-jual-pulse-oxymeter-po-30-beurer-germany,770000,67,General Medical Shop,5
"Fingertip Pulse Oximeter LK87 Ukur Kadar Oksigen Detak Jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g4djdm-jual-fingertip-pulse-oximeter-lk87-ukur-kadar-oksigen-detak-jantung,14100,48,SIAUN SURABAYA,4.9
